dataset,split_id,class,families,K,lambda,init,bic,delta_bic_from_split_winner,test_loglik,test_loglik_per_obs,test_rmse,test_mae,rmse_skill,mae_skill,prediction_finite,prediction_stable,pi,active_counts
bird_counts,0,overall,zinb+zinb+zinb,3,10.0,quantile_glm,61368.68826894215,0.0,-7742.3532244742655,-2.5937531740282296,1511.491472766016,182.00017484937158,0.20801314447294295,0.18213313010950027,True,True,"[0.03012498015169335, 0.5692688291970116, 0.40060619065129505]","[8, 50, 50]"
bird_counts,0,k1,nb2,1,0.0,quantile_glm,64670.26490114177,3301.57663219962,-8346.66710158135,-2.796203384114355,1513.9412386498338,178.09302105214033,0.20672952335164618,0.1996909794300682,True,True,[1.0],[50]
bird_counts,0,identical,zinb+zinb+zinb,3,10.0,quantile_glm,61368.68826894215,0.0,-7742.3532244742655,-2.5937531740282296,1511.491472766016,182.00017484937158,0.20801314447294295,0.18213313010950027,True,True,"[0.03012498015169335, 0.5692688291970116, 0.40060619065129505]","[8, 50, 50]"
bird_counts,0,nonidentical,nb2+nb2+zinb,3,2.0,quantile_glm,61725.413095285396,356.7248263432484,-7750.207562143,-2.5963844429289784,2.6312098089997204e+31,1.6975315496129732e+30,-1.3786935754577224e+28,-7.628315830857708e+27,True,False,"[0.5846577987552473, 0.10612240256653165, 0.3092197986782212]","[50, 47, 50]"
bird_counts,1,overall,nb2+nb2+zinb,3,5.0,quantile_glm,62005.7402222723,0.0,-7528.704825121808,-2.522179170895078,1934.5502691919007,244.7250854879252,0.16292133964103117,0.07944641076800951,True,True,"[0.5672629596334369, 0.09959971297066199, 0.3331373273959012]","[50, 44, 50]"
bird_counts,1,k1,nb2,1,0.0,quantile_glm,65310.580898182896,3304.840675910593,-8083.589248857437,-2.7080701001197447,1793.1590618687735,224.17207178374375,0.22410122433951463,0.15675826662943926,True,True,[1.0],[50]
bird_counts,1,identical,nb2+nb2+nb2,3,5.0,quantile_glm,62042.98670948598,37.24648721367703,-7533.526338636451,-2.5237944183036687,1916.3072269318907,242.26412335976434,0.17081509232302283,0.0887035227454176,True,True,"[0.5731942778419937, 0.10286923473526861, 0.3239364874227376]","[50, 45, 50]"
bird_counts,1,nonidentical,nb2+nb2+zinb,3,5.0,quantile_glm,62005.7402222723,0.0,-7528.704825121808,-2.522179170895078,1934.5502691919007,244.7250854879252,0.16292133964103117,0.07944641076800951,True,True,"[0.5672629596334369, 0.09959971297066199, 0.3331373273959012]","[50, 44, 50]"
bird_counts,2,overall,nb2+nb2+nb2,3,5.0,quantile_glm,62499.39965139527,0.0,-7251.240414732821,-2.4292262695922346,1785.3665373918896,202.61241450707848,0.17287292859682357,0.09129036686019487,True,True,"[0.5713119233864267, 0.1072777983959098, 0.32141027821766355]","[50, 48, 50]"
bird_counts,2,k1,nb2,1,0.0,quantile_glm,65589.20099948713,3089.80134809186,-7754.244533757231,-2.597736862230228,1661.9076370426776,183.1234448785574,0.23006913819626773,0.1786977179077166,True,True,[1.0],[50]
bird_counts,2,identical,nb2+nb2+nb2,3,5.0,quantile_glm,62499.39965139527,0.0,-7251.240414732821,-2.4292262695922346,1785.3665373918896,202.61241450707848,0.17287292859682357,0.09129036686019487,True,True,"[0.5713119233864267, 0.1072777983959098, 0.32141027821766355]","[50, 48, 50]"
bird_counts,2,nonidentical,nb2+zinb+zinb,3,10.0,quantile_glm,62516.10972211382,16.710070718545467,-7283.700629945527,-2.4401007135495902,7057.324014389231,626.5009615930244,-2.2695268011981224,-1.8098350259334328,True,True,"[0.1565775779344645, 0.517032317618797, 0.32639010444673844]","[0, 50, 50]"
randhealth_notmdvis_baseline,0,overall,poisson+nb2,2,50.0,quantile_glm,6434.90228525644,0.0,-758.8123626606715,-0.6419732340614818,3.005641360421278,0.8436346170025972,0.001763559736829623,-0.7282081755581802,True,True,"[0.8311610048601437, 0.16883899513985634]","[12, 0]"
randhealth_notmdvis_baseline,0,k1,nb2,1,50.0,kmeans_glm,6831.551658771753,396.6493735153126,-818.1567984854662,-0.692180032559616,2.971399753633366,0.7669445409213805,0.013135914442537255,-0.5711064945737814,True,True,[1.0],[11]
randhealth_notmdvis_baseline,0,identical,nb2+nb2,2,50.0,kmeans_glm,6449.409945683163,14.507660426722396,-757.7939166293819,-0.6411116045933857,3.0048675023142657,0.8426149680678116,0.0020205742203887045,-0.7261193973243558,True,True,"[0.8832161127272938, 0.1167838872727062]","[14, 0]"
randhealth_notmdvis_baseline,0,nonidentical,poisson+nb2,2,50.0,quantile_glm,6434.90228525644,0.0,-758.8123626606715,-0.6419732340614818,3.005641360421278,0.8436346170025972,0.001763559736829623,-0.7282081755581802,True,True,"[0.8311610048601437, 0.16883899513985634]","[12, 0]"
randhealth_notmdvis_baseline,1,overall,poisson+nb2,2,100.0,kmeans_glm,6472.0657828497715,0.0,-741.7262560068359,-0.6275179830853096,2.841699371732494,0.8673295188227754,0.001320153596742979,-0.7860339568789556,True,True,"[0.8309147891955837, 0.16908521080441635]","[4, 0]"
randhealth_notmdvis_baseline,1,k1,nb2,1,50.0,kmeans_glm,6955.14872167278,483.0829388230086,-759.396938003895,-0.6424677986496573,2.7840688153135504,0.7959484193847045,0.021573694771830576,-0.6390436092556111,True,True,[1.0],[15]
randhealth_notmdvis_baseline,1,identical,nb2+nb2,2,100.0,kmeans_glm,6483.382762850704,11.316980000932745,-741.9354370159429,-0.6276949551742326,2.841488842527265,0.8665367726611336,0.0013941414634515148,-0.784401507465958,True,True,"[0.8815427740555053, 0.11845722594449472]","[6, 0]"
randhealth_notmdvis_baseline,1,nonidentical,poisson+nb2,2,100.0,quantile_glm,6472.0657828497715,0.0,-741.7262560068359,-0.6275179830853096,2.841699371732494,0.8673295188227754,0.001320153596742979,-0.7860339568789556,True,True,"[0.8309147891955837, 0.16908521080441635]","[4, 0]"
randhealth_notmdvis_baseline,2,overall,poisson+nb2,2,100.0,kmeans_glm,6352.963252604393,0.0,-806.9685288388775,-0.6827144914034498,1.9263533967703537,0.8079302915733155,0.0015047574330507851,-0.7717506579585509,True,True,"[0.835753676379107, 0.16424632362089292]","[5, 0]"
randhealth_notmdvis_baseline,2,k1,nb2,1,50.0,kmeans_glm,6759.940635802721,406.9773831983275,-847.8041172340584,-0.7172623665262761,1.908685700441558,0.7215962426851644,0.010662532304990813,-0.5824244134580043,True,True,[1.0],[14]
randhealth_notmdvis_baseline,2,identical,nb2+nb2,2,100.0,kmeans_glm,6356.433785674713,3.470533070320016,-806.3799312862029,-0.6822165239307977,1.926303567771001,0.8077696354404443,0.0015305855178034955,-0.7713983471068742,True,True,"[0.8811204929860404, 0.1188795070139595]","[5, 0]"
randhealth_notmdvis_baseline,2,nonidentical,poisson+nb2,2,100.0,kmeans_glm,6352.963252604393,0.0,-806.9685288388775,-0.6827144914034498,1.9263533967703537,0.8079302915733155,0.0015047574330507851,-0.7717506579585509,True,True,"[0.835753676379107, 0.16424632362089292]","[5, 0]"
