example_id,n,method,param,Truth,Mean_Est,Mean_SE,SE_Success,Coverage,CI_Length
1,500,louis,beta[0][0],-0.5009111654861096,-0.4908857489443463,0.11549537402273514,1.0,0.93,0.4527335469310875
1,500,louis,beta[0][1],-0.7937101408766352,-0.7617094779910901,0.11496499494119701,1.0,0.88,0.45065449913515127
1,500,louis,beta[0][2],0.9038921589451094,0.9032586670670605,0.11643357211046196,1.0,0.93,0.4564112158557054
1,500,louis,beta[0][3],-0.9905646747367036,-0.969980850339274,0.1141082220367084,1.0,0.94,0.44729601106369626
1,500,louis,beta[0][4],0.600605263694346,0.5920135578334865,0.11167912318044629,1.0,0.95,0.4377741185173739
1,500,louis,beta[1][0],0.9966191344435825,1.0090868167769946,0.07111563058050324,1.0,0.92,0.27876814935128325
1,500,louis,beta[1][1],0.49606883804789687,0.491896061111826,0.06992464518904425,1.0,0.98,0.2740995724045373
1,500,louis,beta[1][2],-0.7030272347350851,-0.7025390526632175,0.07163726512236711,1.0,0.92,0.28081291918157375
1,500,louis,beta[1][3],1.1886776096840443,1.1863728308785333,0.0706774678717838,1.0,0.96,0.27705058309436603
1,500,louis,beta[1][4],-0.40040350912956396,-0.3930787176958814,0.07004004109391618,1.0,0.96,0.274551916039562
1,500,numeric,beta[0][0],-0.5009111654861096,-0.4908857489443463,0.11574978363167263,1.0,0.93,0.4537308142727643
1,500,numeric,beta[0][1],-0.7937101408766352,-0.7617094779910901,0.11523211286257042,1.0,0.88,0.45170158214618533
1,500,numeric,beta[0][2],0.9038921589451094,0.9032586670670605,0.11654299255271669,1.0,0.93,0.4568401361076888
1,500,numeric,beta[0][3],-0.9905646747367036,-0.969980850339274,0.11428374844100764,1.0,0.94,0.44798406192522094
1,500,numeric,beta[0][4],0.600605263694346,0.5920135578334865,0.11168419497892429,1.0,0.95,0.4377939996020814
1,500,numeric,beta[1][0],0.9966191344435825,1.0090868167769946,0.07110523432780329,1.0,0.92,0.27872739678955105
1,500,numeric,beta[1][1],0.49606883804789687,0.491896061111826,0.06990221610630232,1.0,0.98,0.27401165201577643
1,500,numeric,beta[1][2],-0.7030272347350851,-0.7025390526632175,0.07165112476116071,1.0,0.92,0.2808672479673221
1,500,numeric,beta[1][3],1.1886776096840443,1.1863728308785333,0.07068626519506038,1.0,0.96,0.2770850679679309
1,500,numeric,beta[1][4],-0.40040350912956396,-0.3930787176958814,0.07009616890907398,1.0,0.96,0.2747719330320425
1,1000,louis,beta[0][0],-0.5014533536581576,-0.4953939223023632,0.08002411097149625,1.0,0.94,0.31368875079793845
1,1000,louis,beta[0][1],-0.7966576654934129,-0.7996736300080006,0.07822037965446461,1.0,0.96,0.3066182539596004
1,1000,louis,beta[0][2],0.9016100987353107,0.8934951569559392,0.08053532508677161,1.0,0.93,0.31569267330659484
1,1000,louis,beta[0][3],-0.9973368880246919,-0.9996764120663082,0.07965090069126388,1.0,0.99,0.3122257933821074
1,1000,louis,beta[0][4],0.6006001996175536,0.61812868965124,0.07785179394823709,1.0,0.93,0.305173424540756
1,1000,louis,beta[1][0],0.9998985786292495,1.005324721017552,0.05094618476864981,1.0,0.94,0.19970537459255333
1,1000,louis,beta[1][1],0.49791104093338306,0.49124920287589935,0.05014396398721356,1.0,0.94,0.19656072691402407
1,1000,louis,beta[1][2],-0.7012522990163528,-0.6968823083629624,0.050617864711525885,1.0,0.94,0.1984183836178233
1,1000,louis,beta[1][3],1.1968042656296303,1.1965027015639973,0.050104864346852906,1.0,0.95,0.19640745914019336
